preferred_canonical	merged_from	before_daf_count	after_daf_count
Chananya HaMitzri	Chanina HaMitzri	2	3
Changing clothes	Changing clothes (shinnui bgadim)	1	2
Chanuka (blossoming)	Chanata (blossoming of fruit); Chanuk	1	3
Chanuyot (stores/shops)	Chanut (store)	1	2
Chanvani (shopkeeper)	Chanvani (storekeeper)	6	7
Character traits	Character development in Rambam's ethical writings	1	2
Character witnesses	Character witness; Character witnesses (zug acher)	0	2
Charitz (ditch)	Charitz (crevice)	1	7
Charitzim and Ne'itzim (types of ditches)	Charitzim (grooves and visible divisions)	1	2
Chariyot (palm branches)	Chariyot Shel Dekel (palm tree beams)	1	2
Charum (nasal blemish)	Charum (flat nose bridge)	1	2
Chashad (suspicion)	Chashad (suspicion of idolatry); Chashad (suspicion of untrustworthiness); Chashada (suspicion); Chashasha (suspicion); Chashda (suspicion)	0	5
Chashud (suspect)	Chashud (oath-breaker)	1	2
Chashud al hasheua (suspect on oaths)	Chashud al hasheua (suspect of false oaths)	1	2
Chasid (pious person)	Chasid (righteous person)	1	2
Chasidim harishonim (original righteous ones)	Chassidim ha-Rishonim (pious ones of old)	2	3
Chasimah (signing)	Chatima (signing)	1	2
Chatas (sin offering)	Chatat (sin offering)	70	153
Chatat (sin offering) - blood placement	Chatat (sin offering) - blood application procedure	1	2
Chatat (sin offering) and asham (guilt offering)	Chatas ve'asham (sin and guilt offerings)	3	5
Chatat Ha'Of (bird sin offering)	Chatas ha-of (bird sin offering)	7	15
Chatat Metzora (sin offering for metzora)	Chatas hametzora (sin offering of a metzora)	1	3
Chatat Nazir (sin offering of nazir)	Chatas nazir (sin offering of a nazir)	2	3
Chatat Pnimit (inner sin offering)	Chatas pnimit (inner altar sin offering)	1	2
Chatat Shemetah (sin offering that must die)	Chatas hametah (sin offering that must die); Chatas metot (sin offerings that must die)	1	7
Chatichah (piece)	Chaticha (limb/piece)	1	4
Chatima (closing formula)	Chasima (blessing conclusion)	2	3
Chatzer mehalechет (shared courtyard)	Chatzer Mehalechet (moving courtyard)	1	4
Chatzi Nezek (half-damages)	Chatzi Nezek (half damages)	9	10
Chatzitzah (interposition/barrier)	Chatzi Tzah (interposition); Chatzitza (barrier to immersion); Chatzitzah in immersion (interposition/barrier); Chatzitzah in mikva (interposition/barrier)	4	30
Chatzot (midday)	Chatzot as determinative moment (midday); Chatzot in moon visibility (midday); Chatzot in Pesach (midday); Chatzot in Pesach slaughter (midday)	6	10
Chatzot (midnight)	Chatzot in Pesach eating (midnight)	7	8
Chavalah (personal injury)	Chavala (wounding) in Shabbat	7	8
Chaveirim (scrupulous observers)	Chaveirim (oppressive Persian group)	9	10
Chaver (scrupulous observer)	Chaver (observant Jew); Chaver (covenant/association member); Chaver (scrupulous associate); Chaver in separation (scrupulous observer)	12	17
Chavitin (daily meal offering of High Priest)	Chavitin of Kohen Gadol (daily meal offering)	4	9
Chaviv (desirability)	Chaviv (beloved)	1	2
Chavrusa (partnership learning)	Chavruta (study partnership)	1	4
Chavurah (bruise/wound)	Chavura (group)	1	7
Chaya (wild animal)	Chaya (midwife)	11	12
Chayav Mita (liable to death)	Chayav Misa (liable for death)	0	5
Chazaka (possession)	Chazakat Gimmel Shanim (presumption of three years possession); Chazkas Habatim (presumption of ownership through possession)	17	19
Chazaka (presumption)	Chazakah (presumption)	91	92
Chazakah asuyah lehishtanot (status liable to change)	Chazakah asuyah lehishtanot (status inherently subject to change)	1	2
Chazan (cantor; attendant)	Chazanim (cantors; attendants)	5	6
Chazara (returning to fire)	Chazara (returning food to fire)	1	2
Chazara (reversal of position)	Chazara (reversal) and Charatan (regret)	1	2
Chazeh v'Shok (breast and thigh)	Chazeh (breast of offering)	6	7
Chazir (pig; pork)	Chazir (pig)	1	3
Chazkat mara kamma (presumption of the previous owner)	Chazkat mara kama (original owner presumption)	1	2
Chazuta (appearance; visual discernment)	Chazuta (appearance; color)	1	2
Cheder (inner chamber; uterus)	Cheder (inner chamber)	1	3
Cheilev (forbidden fat)	Chelev (forbidden fat)	1	26
Chelev (forbidden fat) characteristics	Cheilev and Nosar unknown type of sin	1	2
Chelev and Shuman (forbidden and permissible fat)	Chelev Ve-Dam (fat and blood)	1	2
Cherem (consecrated to destruction)	Cherban (destruction)	1	2
Cherem (excommunication)	Cherem (ban/excommunication); Cherem (excommunication) and waiver; Cherem and Shamta (excommunication)	24	27
Cherem (excommunication) vs. Niduy (ostracization)	Cherem and Niduy in Rabbi Eliezer	1	2
Cheresh (deaf-mute)	Cherish (deaf-mute)	20	21
Cheresh (deaf-mute) and Shoteh (mentally ill)	Cheresh and Chereshet (deaf-mute disqualification); Cheresh, shote, katan (deaf-mute, imbecile, minor); Cheresh, Shoteh, Chavush (deaf-mute, mentally ill, imprisoned); Cheresh, Shoteh, Katan (deaf-mute, mentally ill, minor); Cheresh, Shoteh, Ve-Katan (deaf-mute, mentally ill, minor)	1	25
Cherev (metal vessels)	Cherev (sword)	1	3
Cherev Ke'Chalal (metal vessels treated as corpse)	Cherev as Chalal (metal vessels treated as corpse)	2	3
Chesed Shel Emet (true lovingkindness; burying the dead)	Chesed (lovingkindness)	1	9
Chet Ha-Eigel (sin of the golden calf)	Chet Ha'egel (sin of the golden calf)	1	2
Chevlei Mashiach (birth pangs of messiah)	Chevod V'Tiferet (honor and splendor)	4	5
Chevron (extent of visibility)	Chevron	1	2
Chezkas Damim Min Ha'Isha (presumption of blood from woman)	Chezkas Ha-Mishtamer (presumption of guardianship)	1	2
Chezkat (presumption)	Chezkat Chayim (presumption of life); Chezkat Gimel Shanim (three-year presumption); Chezkat Heter (presumption of permission); Chezkat Kashrus (presumption of proper status); Chezkat Kashrus in witnesses; Chezkat Mamon (presumption of ownership); Chezkat Tumah (presumption of impurity)	1	12
Chi vs. Bashil (raw vs. cooked food)	Chi (raw food)	1	2
Chibbur (connection)	Chibur (connection); Chibbur Mayim (connection of water); Chibbur Olin K'Olin (connected elements in offering); Chibrah Hayotzer (connected vessel); Chiburei Ochlin (food connections); Chiburei Ochlin Ke-Keilim (food integrated into vessels); Chiburei Olin K'Olin Damu (connected elements and their blood); Chiburim in tumah; Chiburin (connection through contact)	4	14
Chibut Arava (beating of willow branches)	Chibut (striking)	1	2
Chicks vs. eggs vs. dependent birds	Chicks and eggs	1	2
Chiddush (novel insight)	Chiddush (novel interpretation)	13	30
Chillul (desecration)	Chillul Chillul (double desecration)	4	5
Chilufim (proceeds from exchange)	Chilufim (exchanges); Chilufim (substitutes for offerings); Chilufeihem (proceeds from sale)	1	4
Chiluk Melachot (distinction of acts)	Chiluk Avodot (distinction of acts); Chiruk melachot (distinction of labors on Shabbat)	3	5
Chinuch (education of children in mitzvot)	Chinuch (inauguration)	15	17
Chisaron (loss/diminishment)	Chisaron (flesh removed)	3	4
Chiyuv (legal obligation)	Chiyuv (obligation)	5	6
Chizkiya	Chizkiyah	38	40
Chochmah (wisdom)	Chokhma (wisdom)	2	3
Chol Ha-Moed (intermediate days of festival)	Chol HaMoed (intermediate festival days)	28	29
Choleh (sick person)	Choleh (sick animal)	3	6
Chomat Ha'ir (walls of city)	Chomah (city wall); Chomas Ir (walled city with gap)	1	3
Chomesh (one-fifth penalty)	Chomesh (fifth); Chomesh requirement (fifth part)	19	21
Chometz (leavened bread)	Chometz (vinegar)	2	3
Chometz ben yayin (vinegar, son of wine)	Chometz be-Pesach	1	2
Choni Ha-Ma'agel	Choni Ha-Ma'agel contrast	4	5
Chorei Reshut Ha-Rabim (holes in public domain)	Chorei Reshut Ha-Yachid (holes in private domain)	1	2
Choresh (plowing)	Choresh (forbidden labor with ox and donkey)	2	3
Choshen Mishpat (civil law)	Choshan Mishpat	1	2
Chotam (seal)	Chotam and single vs. double seal (seal)	3	4
Chotei (sinner)	Chotei in Nazir (sinner); Chotei linguistic analysis (sinner)	1	3
Chotem/Petek (receipt/seal)	Chotamot (receipts)	1	2
Chov (debt)	Chov hu lo (detriment to him)	1	2
Chova (obligation)	Chova in nest law (obligation)	9	10
Chovas Gavra (obligation on person)	Chovat Haguf (personal obligation)	1	2
Chovas Mana (obligation on object)	Chovat Karka (land-dependent obligation)	1	2
Chovev Chever (witchcraft)	Chover Chaver (invoking spirits)	1	2
Chozer (retraction)	Chozer bo (retraction); Chozer/Chozeret (can retract)	3	7
Chozer B'Matanto (right to retract a gift)	Chozer Basadeh (can back out via land); Chozer Bashtar (can back out via document)	2	4
Christianity and theological status	Christians and Christianity	1	2
Christians (Notzrim) as Avodah Zarah (idolatry)	Christianity as Avodah Zarah (idolatry)	0	1
Chuka (statute)	Chuka (pagan ritual)	1	2
Chukim (divine edicts)	Chukat Mishpat (statute of judgment)	1	3
Chulasit/Metzula (swamp)	Chulsis and metzula (sand field and pond)	1	2
Chulda (weasel)	Chulda etymology (weasel)	1	2
Chulin (non-sacred)	Chulin	24	26
Chulyah (bands of trachea)	Chulya (vertebra)	1	2
Chulyot (wrapping sections)	Chulyot (component parts)	1	2
Chumash (Torah portion)	Chumash (individual Torah book)	1	2
Chumra (stringency)	Chumra and kula (stringency and leniency); Chumra and tradeoffs	13	19
Churba (ruin)	Churvah (ruin)	1	3
Churban (destruction of the Temple)	Churban Ha-Bayit (Temple destruction)	22	23
Chutz Limkomo (outside proper place)	Chutz Limkomo (wrong place)	19	27
Chutz Lizmano and Chutz Limkomo (wrong time and wrong place)	Chutz mi-Zmanam ve-Chutz mi-Mkomaum (outside proper time and place); Chutz Limkomo and Chutz Lizmano (wrong place and wrong time)	1	3
Co-wife testifying for co-wife	Co-wife Testimony	1	2
Coerced Get (get me'useh)	Coerced sale	1	2
Coercion and Anous (coerced)	Coercion by Gentiles or Insanity	1	2
Coin Enlargement and Precious Metal Content	Coinage enlargement after Torah	1	2
Coins and minting process	Coin Imagery and Avoda Zara	1	2
Cold water (tzonen)	Cold (tzina); Cold water to stop fermentation	1	3
Collapsed building rescue on Shabbat	Collapsed banks	1	2
Collecting from heirs	Collection from movables after death	1	2
Collection and reabsorption	Combining to next cycle	1	2
Collective punishment	Collective punishment and family liability	1	2
Color (red/black)	Color precision and variation	1	2
Combination (tziruf) of multiple items or coverings	Combining dots (tziruf); Combining	1	3
Combing hair prohibition	Comber (sorek)	1	2
Common matters vs. rare matters	Common vs. rare circumstances; Common vs. uncommon animals	1	3
Common person (am ha'aretz)	Common Israel/Amei HaAretz integration	1	2
Communal funds (terumah ha-lishka)	Compensation of judges from terumah ha-lishka	2	3
Communal prayer (minyan)	Communal prayer for economic crisis; Communal vs. individual prayer	1	4
Communal reciprocal obligations	Communal responsibility and sin	1	2
Community custom and commercial practice	Common usage; Common use vs. uncommon use	1	3
Compass points	Compass points / squaring off	1	2
Compassion (chesed)	Compassion and Jewish identity	2	3
Competitive incentive (kinat sofrim)	Competing with the wicked	1	2
Conception (hiryon)	Conception (mazria); Conception and child quality	1	3
Conditional acquisition (al menat)	Conditional acquisition	1	2
Conditional Get	Conditional gittin	0	1
Conditional Kiddushin After Thirty Days	Conditional kiddushin (marriage after divorce); Conditional marriage (al tenai)	1	3
Conditional vow (tenai)	Conditional neder (vow); Conditional vow: sex forbidden if wife adorns/eats; Conditions (Tenai)	2	5
Conditional vows and precision (Haplaa and Diyuka)	Conditional vows vs. postponed vows	1	2
Consecration / Hekdesh	Consecration (Hekdesh) differs from sale and gift; Consecration / Hekdesh (Ganav V'Hikdish)	0	2
Consolations (Tanchumin)	Consolation message to oppressed Jews; Consolation through reinterpretation of suffering; Consolations (Tanchumin) thirty-day limit	0	3
Constellations	Constellation (Mazalot); Constellations and Mars (Ma'adim)	0	2
Contradictory witnesses	Contradictory witnesses (Edim savlonin)	2	3
Conversion	Conversion / Geirut (becoming Jewish); Conversion and converts (Gerim); Conversion and legal status; Conversion of non-Jews through Torah argument; Convertibility and observance; Converting from various nations; Converts from nations	0	7
Converts and freed slaves	Converting slave (Eved)	1	2
Cooking vs. roasting	Cooking / preparation (Matkan Al Yedei Ha'or); Cooking vs. roasting (Bishul vs. Tzli)	0	2
Corner placement	Corner exception (Keren zavit); Corner placement (Keren zavit)	0	2
Corpse impurity (tumaat meit)	Corpse impurity (tumaat meit) and exits; Corpse impurity (tumaat meit) in gender determination	0	2
Courtyard between two streets (mavot)	Courtyard arrangements (chatzer, mavoi)	1	2
Creation (briyat ha-olam) and Tishrei	Creation and timing in Tishrei versus Nissan	1	2
Creditor's collection rights (ba'al chov)	Creditors and liens (ba'alei chov)	1	2
Cross-breeding (kilayim)	Cross-breeding animals (kilayim)	1	2
Crucifixion (tzaluv)	Crucified person (tzaluv al ha-eitz)	1	2
Curse (kelalah)	Cursing (קללה; curse)	0	1
D'Oraita (Biblical Law)	D'Oraita vs. D'Rabbanan (Biblical vs. Rabbinic Law)	20	34
Da'at (Intent/Mind)	Da'at (intention); Da'at (knowledge; awareness); Da'at (legal capacity)	20	25
Da'at Ba'al (husband's consent)	Da'at HaMitchayiv (Intent of the Obligated Party)	1	2
Da'ato (intent)	Da'ateih iluyei (intention to retain chametz); Da'ato leha-zor (intent to return); Da'ato Lehosif (intent to add more); Da'ato shel Adam Kerova (father's intent toward son); Daitey ilavey (contemplated use)	1	6
Dachaf (pushing)	Dachuk (forced interpretation); Dachuy (pushed away)	1	6
Daf (page of Talmud)	Daf Yomi (daily study cycle); Daf Yomi lecture structure	2	4
Dagim (fish)	Dag and Dagah (fish species); Dag Maliach (salted fish); Dagah (fish); Dagim she-ba-Yam (fish of the sea)	1	5
Daisy chain (hand-to-hand transfer)	Daisy chain; Daisy chain (linked verses via Gezeirah Shavah); Daisy-chaining of hermeneutics	1	4
Dak Tavlul (eye blemish with mixed pupil)	Dak (cataract)	1	2
Daka (barrier)	Daka	1	2
Dam (blood)	Dama (blood)	24	25
Dam Betulim (hymenal blood)	Dam Besulim (hymenal blood); Dam Betulim (hymenal bleeding)	4	6
Dam Hanidah (menstrual blood)	Dam Niddah (menstrual blood)	1	10
Dam Mishrak Sharik (blood slides off)	Dam Mishrak Sharik (blood is slippery)	1	2
Dam Niddah versus Dam Leidah (menstrual versus childbirth blood)	Dam Betulim vs. Dam Niddah	1	2
Dam Tamtzit (remainder blood after slaughter)	Dam Tamtzit (non-life blood)	1	3
Dam versus Kesem (blood flowing versus stain)	Dam v'lo Kesem (blood not stain)	1	2
Damav Bo (his blood upon him)	Damav Bo (blood upon him)	2	3
Damim (monetary compensation)	Damim (market valuations); Damim (market value); Damim (payment); Damim (value of limb)	1	7
Damim Modiin (monetary value as proof)	Damim Modiyim (informative bloods)	1	2
Darchei Shalom (ways of peace)	Darkei Shalom (ways of peace)	17	19
Dargash (leather couch)	Dargash (leather bed)	1	2
Darko Leilech Ulehazik (goes out and creates damage)	Darko Lehazik (its way is to damage)	1	2
Davar Acher (alternative explanation)	Davar Acher (alternative item or means); Davar Acher (other reason; euphemism)	1	3
Davar Ha'avad / Hefsed (financial loss or damage prevention)	Davar Ha'avad (financial loss preventing work)	1	7
Davar hame'akev kapparah (factors impeding atonement)	Davar hame'akev (impeding factor)	1	2
Davar Mesuyam (specific/defined thing)	Davar mesuyam (specific designated object)	1	2
Davar She'be'erva (matter affecting personal status)	Davar She-Be-Eruv (personal status matters); Davar Shebe'ervah (personal status matter)	4	6
Davar Shelo Ba L'olam (non-existent matter)	Davar She'lo Ba Le'olam (thing not yet in existence)	1	14
Davar versus Chatzi Davar (complete versus half matter)	Davar Ve'lo Chatzi Davar (whole matter vs. half matter)	1	3
Davening (prayer)	Davening Behind Rebbe in prayer (teacher respect); Davening with Minyan in prayer (communal prayer)	8	10
David HaMelech (King David)	David	7	21
Dayah sha'atah (her moment suffices)	Dayah sha'atah (applicable only from now); Dayah sha'atah (only concerned from moment of seeing); Dayah sha'atah (only concerned from moment of sighting); Dayah sha'atah (she requires only the moment she finds the blood); Dayah sha'atah (sufficient for now)	1	6
Dayan (judge)	Dayan/Dayanim (judge, judges)	3	4
Dayan Ha-Emet (judge of truth)	Dayan HaEmet (judge of truth)	1	2
Dayanei Golah (judges of the exile)	Dayyanei Golah (judges of the exile)	2	3
Dayanim (judges)	Dayanim (judges and justice)	1	2
Dayika u-mintzva (woman's investigation)	Dayika u-mintzva (woman investigates before remarrying)	1	2
Dayo (principle that derived laws cannot exceed source)	Dayo (kal vachomer cannot exceed its source); Dayo (limitation by existing case); Dayo (principle limiting derived liabilities); Dayo (principle limiting inference); Dayo (sufficiency limit on kal vachomer); Dayo (sufficiency principle); Dayo (sufficient payment principle); Dayo (sufficient, limiting principle)	1	10
De'oraisa (biblical law)	De'oraisa vs. De'rabbanan; De'oraita (biblical law); De'oraita (from the Torah); De'oraita vs. De'rabbanan (biblical vs. rabbinic law); De-Oraita (from Torah law)	2	36
De'rabbanan (rabbinic law)	De'rabbanan in Eruv (rabbinic law in eruv); De'rabbanan vs. De'oraisa; De'rabbanan vs. De'oraisa in tumah bechiburin; De-Rabbanan (rabbinic institution); De-rabbanan (rabbinically ordained)	29	39
Dechiya (deferment, pushing off)	Dechuya (overridden but violating); Dechuyah (overridden, pushed away)	1	4
Dekal (palm tree)	Dekel (palm tree)	0	1
Demei Nizak vs. Demei Mazik	Demei Mazik (assessment by injurer); Demei Nizak (assessment by injured party)	1	3
Dependency on God for sustenance	Dependency on God	1	2
Derasha (exegetical interpretation)	Derasha - Venatan Mikol Makom (exegetical interpretation); Derasha on Shabbat Purim (exegetical interpretation)	14	16
